;eccd;tfidf;mutual_information;trl;term_strength;linear_measure_5;chi2
50;0.030927835051546393;0.19047619047619047;0.3333333333333333;0.0;0.42857142857142855;0.07526881720430108;0.20481927710843373
100;0.07526881720430108;0.21212121212121213;0.3698630136986301;0.08108108108108109;0.5384615384615384;0.12359550561797752;0.22699386503067484
200;0.08991825613079019;0.29449838187702265;0.32450331125827814;0.3201320132013201;0.5151515151515151;0.1396011396011396;0.23076923076923078
500;0.13250283125707815;0.40252454417952316;0.42653352353780316;0.19331742243436753;0.5408320493066255;0.23915737298636927;0.2853470437017995
1000;0.17716303708063566;0.4587892049598833;0.44404332129963897;0.12803158488437677;0.5026296018031555;0.299545159194282;0.34589502018842533
3000;0.2113870381586917;0.4781966001478197;0.4992503748125937;0.20506125728057842;0.5364916773367477;0.3895321908290875;0.3242109909512249
5000;0.18962645729241018;0.350438892640108;0.36948781155847715;0.23001230012300122;0.3844662882458812;0.29701686121919585;0.2924906294429365
10000;0.24154199515798622;0.28990648178007095;0.29441460099669925;0.2640626975097965;0.29701686121919585;0.26815040263775286;0.2774655084312724
15000;0.3357079252003562;0.35679073764189767;0.3620885357548241;0.3477088948787062;0.39586823003908433;0.4351320321469575;0.3539739134359345
25000;0.6467953362756077;0.6563421340312054;0.6572754391779914;0.650709805216243;0.7495363728611918;0.665057111458923;0.6502739454749489
