;f_val;shap;mutual_information
1;0.00159;0.275121;0.060211
2;0.00132;0.282613;0.057072
3;0.001262;0.192859;0.056665
4;0.001305;0.216979;0.054811
5;0.001541;0.274449;0.051725
6;0.001369;0.232112;0.052635
7;0.001486;0.13455;0.054538
8;0.0015;0.177879;0.053091
9;0.001612;0.21642;0.052244
10;0.001442;0.167108;0.052405
11;0.001307;0.137295;0.053296
12;0.001313;0.151238;0.05283
13;0.001398;0.172957;0.053934
14;0.001316;0.164661;0.052236
15;0.00149;0.205189;0.054602
16;0.001551;0.194904;0.063595
17;0.001452;0.182515;0.055274
18;0.00125;0.266235;0.05554
19;0.001406;0.247615;0.056515
20;0.001325;0.260769;0.053638
21;0.001277;0.234493;0.055445
22;0.001456;0.246353;0.060004
23;0.001343;0.154589;0.055988
24;0.001332;0.237849;0.054857
25;0.001679;0.144237;0.0557
26;0.001474;0.259365;0.055224
27;0.001395;0.172313;0.054744
28;0.001389;0.130002;0.056636
29;0.001407;0.17457;0.056423
30;0.001356;0.191861;0.055638
31;0.001409;0.125537;0.059432
32;0.001359;0.177847;0.055776
